FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
1291,1959,5061,22,39,23969.44285,5033,30,750.42,84467482,5033,33412458.66,119.02,119.82,0.81,"5,18358.20;6,775617.97;7,1706669.01;8,4269292.52;9,4444022.50;10,3707570.45;11,4385576.23;12,5527214.09;13,5012759.61;14,5386873.11;15,5639070.54;16,5855046.75;17,3695606.26;18,4213385.68;19,4861461.15;20,3200957.06;21,3376011.02;22,3963983.68;23,2692647.37;24,3084354.74;25,3298840.31;26,2007496.47;27,3340689.15;",0.91
1292,1959,5733,30,67,40233.96278,5733,47,822.6,131749352,5733,33407804.86,129.64,138.28,8.65,"12,99570.57;13,1144893.78;14,2701715.49;15,4536661.91;16,4713663.93;17,5341308.73;18,5357989.07;19,4907199.40;20,5500751.74;21,5225662.35;22,5782650.62;23,5480878.45;24,6940370.12;25,7326357.18;26,4851291.59;27,5491580.61;28,5287580.97;29,5227347.70;30,5738482.46;31,4135435.77;32,4957870.37;33,4673852.40;34,4105398.43;35,5392197.86;36,3650289.59;37,4545625.19;38,4035638.59;39,3326470.67;40,1045385.57;41,193355.60;42,20909.08;",0.9
1293,1959,3128,9,22,13507.30999,3107,19,644.61,122885736,3107,33372119.59,65.58,66.92,1.34,"1,1049809.16;2,3270716.63;3,4693262.15;4,6215082.24;5,10789921.20;6,12671248.86;7,14310090.28;8,15423079.17;9,12821917.65;10,11268234.75;11,8119979.31;12,7598598.95;13,5518358.21;14,4026951.87;15,3300195.28;16,1804449.12;",0.99
1294,1959,3632,37,84,51423.95812,3632,66,757.96,62247448,3632,33315060.75,81.15,81.35,0.2,"19,22665.45;20,765679.45;21,1412812.29;22,2003971.28;23,2011900.22;24,2346383.59;25,2413338.70;26,2796636.22;27,2115096.39;28,3028731.53;29,1790938.67;30,2221126.09;31,2719036.54;32,2442324.62;33,2984019.74;34,3102978.56;35,1752989.56;36,2062479.51;37,2282079.24;38,2018102.76;39,1626114.39;40,2227032.34;41,1411898.37;42,1657989.92;43,1592809.76;44,1826098.13;45,1858804.10;46,1696131.31;47,1700225.12;48,2171131.29;49,1357949.29;50,731685.68;51,91693.71;",0.89
1295,48,83,6,10,6484.669401,48,10,0,67300063,48,33313576.37,1.55,2.18,0.63,"0,1061170.78;1,3512728.07;2,10966322.15;3,12625763.28;4,11348817.23;5,10102855.52;6,7268903.57;7,3795117.67;8,3801922.61;9,1533102.02;10,989856.40;11,292739.88;",0.99
1296,1959,5593,36,92,55420.65958,5418,74,730.67,105600980,5418,33295022.49,129.64,134.45,4.81,"18,218274.31;19,1153662.98;20,1813630.83;21,2691454.34;22,2229843.52;23,2927817.29;24,2883290.72;25,3037820.76;26,3697631.76;27,3022465.58;28,3787124.84;29,3509636.63;30,3912168.46;31,3040166.64;32,3564297.72;33,4909637.74;34,4356555.35;35,3548126.86;36,3655364.39;37,4212853.88;38,3526873.36;39,3397106.26;40,4141111.60;41,3189793.65;42,2477353.06;43,3379328.76;44,3512272.86;45,3088042.80;46,2997460.51;47,3269478.37;48,3132831.67;49,2495352.55;50,2321011.85;51,998972.63;52,746660.94;53,404922.63;54,317196.21;55,23481.75;",0.89
1297,1959,3625,40,85,51684.9434,3625,68,739.83,64711646,3625,33073673.11,80.75,81.15,0.41,"16,11031.68;17,425919.02;18,1507328.67;19,2267534.84;20,2502078.59;21,2459660.37;22,2000345.59;23,2069852.47;24,1908982.38;25,2267589.24;26,2114653.60;27,2044460.91;28,1810289.14;29,2081275.02;30,2421021.84;31,2661072.67;32,2664456.20;33,2213664.22;34,2421388.76;35,2409982.34;36,1936409.99;37,2912776.59;38,2283154.18;39,1902390.83;40,2947474.38;41,2105972.42;42,1731902.12;43,2244267.35;44,2107403.54;45,2010559.21;46,1789484.12;47,462302.82;48,10402.97;",0.86
1298,1959,3618,35,79,47487.19911,3618,64,720.94,60563338,3618,33059094.42,79.92,80.95,1.03,"16,115690.00;17,742911.73;18,911714.99;19,1374015.63;20,2256419.07;21,2324103.24;22,1935489.30;23,2682353.79;24,1991332.81;25,2499682.75;26,2135815.54;27,2288098.53;28,3581948.54;29,3020376.36;30,3137004.41;31,3616110.47;32,1536513.87;33,2686493.62;34,2114736.83;35,1848660.09;36,2342194.90;37,1497265.27;38,1948319.25;39,2049413.07;40,1591490.74;41,1960183.57;42,1494406.65;43,1825138.80;44,1604740.35;45,1079257.03;46,343203.05;47,24126.48;",0.92
1299,1959,5747,34,71,43002.4611,5747,61,684.2,64654512,5747,32970609.66,138.28,138.7,0.42,"14,69130.22;15,1225962.06;16,2262526.47;17,2731898.96;18,2562171.03;19,2186706.24;20,2880680.17;21,2573639.08;22,1921660.90;23,2905757.33;24,2246534.58;25,2898726.93;26,3619907.34;27,2791867.77;28,2613489.29;29,2412351.74;30,2268077.07;31,2532117.75;32,2332316.96;33,2014555.32;34,1885988.90;35,2872963.25;36,1972984.08;37,2358634.20;38,2771910.90;39,2714511.51;40,2110545.18;41,913231.85;",0.87
1300,1959,3702,36,93,55745.17056,3695,56,962.4,61490264,3695,32966554.22,83.19,83.38,0.19,"17,277124.18;18,645543.63;19,1314178.05;20,1581632.86;21,1813051.34;22,1840571.61;23,1349644.54;24,1585718.95;25,1925234.43;26,1553233.19;27,1758542.40;28,2274231.29;29,1812392.56;30,2170491.05;31,2585030.12;32,2818423.18;33,2396692.99;34,2076490.92;35,2776952.82;36,1776147.41;37,2430098.87;38,2349596.16;39,1398372.35;40,2196362.85;41,2475132.06;42,2087810.06;43,2010276.94;44,2552840.46;45,2038720.40;46,2041650.13;47,2096807.74;48,1133584.95;49,322488.55;50,20367.01;",0.89
