FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
829,1850,1899,38,76,46528.07163,1899,59,764.23,191027776,1899,120698960.7,33.83,35.08,1.25,"13,900716.78;14,2434124.20;15,3565785.09;16,5345443.34;17,4431542.44;18,6940378.04;19,3319622.88;20,5898444.43;21,8090810.43;22,4008640.65;23,9018677.29;24,6421441.82;25,7925079.64;26,10328046.61;27,8328576.77;28,10557514.36;29,6994508.04;30,9894927.31;31,7247896.31;32,6662701.71;33,8435998.18;34,6496564.14;35,5832647.73;36,8619258.21;37,6727571.99;38,6024307.24;39,7126033.14;40,6128431.21;41,4635459.01;42,2276951.87;43,406665.68;",0.91
830,1944,2564,21,53,31958.89081,2305,44,696.3,836939456,2305,119970832.4,44.49,50.2,5.7,"8,2524019.07;9,8072181.53;10,13401864.18;11,24489479.73;12,21533821.86;13,36947105.71;14,31619456.49;15,44880776.30;16,38241441.84;17,52917307.65;18,43170628.62;19,59509146.10;20,44347524.63;21,51274020.68;22,38328401.33;23,38252088.12;24,33871964.44;25,30860771.24;26,30926180.94;27,28048418.27;28,28300456.60;29,33947036.29;30,32638471.31;31,26801880.06;32,22930835.32;33,7216092.22;34,7943828.98;35,2935015.93;36,999869.11;",0.93
831,842,856,16,34,20947.85902,842,26,749.32,232477096,842,119660965.3,14.88,15.19,0.31,"2,3522109.47;3,7644898.36;4,4869016.75;5,5159265.17;6,3699936.19;7,2721085.67;8,3750048.89;9,10413707.71;10,20169101.35;11,21306207.63;12,32556011.88;13,34149897.52;14,29573151.70;15,23014459.61;16,8105663.82;17,4907820.39;18,2498696.22;19,4407912.80;20,4252550.96;21,5754661.12;",0.93
832,1584,1654,8,14,8609.420392,1584,13,0,181696020,1584,118915431.2,28.56,29.75,1.19,"1,14567564.26;2,16604931.22;3,14256681.38;4,22668474.97;5,34719210.96;6,33601959.80;7,25243999.63;8,12642988.53;9,3439013.03;10,1828421.70;11,2122543.06;",0.96
833,1003,1017,17,34,20817.83595,1017,29,672.97,169922912,1017,118197034.5,18.08,18.41,0.33,"5,1506382.87;6,2356074.65;7,8234023.12;8,8873790.59;9,9447578.12;10,10123344.09;11,13832168.48;12,18559873.44;13,14021876.90;14,15554299.21;15,9769333.68;16,10449417.12;17,10060557.77;18,9019841.85;19,6118231.51;20,5570207.94;21,5124402.73;22,3247809.27;23,5033959.22;24,3018323.60;",0.97
834,1944,2571,28,53,31909.42404,2536,47,652.41,631330416,2536,118014381.8,49.09,50.37,1.27,"6,930563.40;7,3203968.36;8,11080689.52;9,16151041.69;10,19288906.98;11,20327530.35;12,22504274.79;13,22834014.49;14,21800318.91;15,24651873.55;16,25760223.06;17,36491969.65;18,35396077.43;19,36779411.07;20,36502222.61;21,33099734.73;22,30867465.16;23,30145249.26;24,25459702.70;25,22106014.77;26,25197036.32;27,23677738.09;28,24009247.63;29,22965344.80;30,20565368.29;31,23282595.19;32,12399601.40;33,3844101.67;",0.92
835,1234,1248,6,9,5791.057925,1248,9,0,247792888,1248,117969374.1,22.65,22.88,0.23,"0,10854917.45;1,16042717.38;2,53889114.15;3,46525428.01;4,33694539.44;5,24985201.23;6,21035619.51;7,18334876.32;8,7923692.93;9,6095766.65;10,7460844.02;11,949663.42;",0.97
836,1822,1892,31,64,38928.98478,1829,56,672.84,435630544,1829,117793721.1,33.15,34.87,1.73,"13,2934775.39;14,4614227.59;15,7688550.16;16,16358244.46;17,16324102.36;18,15937419.33;19,13860723.67;20,28346708.37;21,28557032.05;22,24196718.48;23,18675130.43;24,30482176.83;25,27685832.55;26,21911291.09;27,16765483.06;28,26149829.13;29,17920474.19;30,14416401.25;31,13240486.91;32,12679196.18;33,14072777.03;34,12054902.21;35,9885131.34;36,13348087.41;37,12054679.11;38,6316317.24;39,4150370.90;40,2587347.21;41,2410179.26;",0.95
837,359,408,16,24,14713.56668,359,20,670.12,162731484,359,117534469.2,6.04,6.92,0.88,"4,10009590.73;5,11422938.37;6,8673917.55;7,9302738.21;8,18541055.16;9,16393520.16;10,32992485.13;11,8156388.21;12,7261950.57;13,9887180.35;14,7557900.49;15,6296223.12;16,3294669.57;17,9496694.92;18,3443764.15;",0.89
838,1010,1087,15,24,14940.27196,1087,18,748.47,185706152,1087,117263809.6,18.24,19.88,1.64,"2,3006817.83;3,3332534.75;4,6635872.66;5,9391592.89;6,15048491.22;7,19587292.61;8,24236618.62;9,21386874.96;10,15996962.09;11,20987816.61;12,16128793.35;13,9222126.25;14,4640770.07;15,4639740.13;16,5884229.39;17,2021540.31;18,3557016.24;",0.99
839,1801,1913,33,75,45491.61248,1801,67,660.89,393749128,1801,116724195,32.7,35.41,2.71,"13,1322699.58;14,2847396.59;15,3689511.33;16,7347205.62;17,11238495.80;18,13308532.05;19,12690912.53;20,11803668.83;21,9612140.58;22,19501625.13;23,20670584.06;24,10494263.15;25,14227703.42;26,19052143.03;27,18361930.74;28,21133129.10;29,17464774.34;30,15195945.90;31,15506184.64;32,14861263.92;33,13324776.57;34,13774557.49;35,15447074.09;36,15253583.15;37,11635596.39;38,12487590.58;39,16653846.04;40,11358551.83;41,7403910.52;42,11398587.13;43,3753007.95;44,920546.08;",0.9
840,723,737,13,22,13382.58399,730,16,744.86,285885232,730,116640237.3,12.64,12.87,0.23,"1,4303384.32;2,3118506.65;3,8474137.93;4,13684901.20;5,20771564.51;6,25046388.46;7,39990321.64;8,33076247.17;9,36040170.46;10,23420810.74;11,22190265.02;12,18992135.13;13,13084789.00;14,6393429.83;15,3742202.84;16,3809216.23;17,9745351.47;",0.98
841,1766,1864,5,12,7502.544121,1766,11,0,240385188.5,1766,116589811.5,31.97,34.14,2.17,"0,430398.50;1,13222663.65;2,31328246.71;3,37853691.92;4,48438142.43;5,32445106.25;6,25093306.04;7,18926379.76;8,15972574.27;9,8777621.17;10,5287022.58;11,2609068.44;",0.99
